Strategy,Return (%),Max DD (%),Sharpe,Sortino,Calmar,Trades,Win Rate,Costs
Logistic Regression,+58.60%,-6.14%,1.330,1.731,2.586,115,63.5%,"$44,310"
Decision Tree,+61.38%,-6.14%,1.376,1.760,2.679,111,64.9%,"$42,514"
Random Forest,+61.38%,-6.14%,1.376,1.760,2.679,111,64.9%,"$42,514"
Gradient Boosting,+61.38%,-6.14%,1.376,1.760,2.679,111,64.9%,"$42,514"
XGBoost,+61.86%,-6.14%,1.385,1.765,2.695,110,65.5%,"$42,337"
LightGBM,+61.38%,-6.14%,1.376,1.760,2.679,111,64.9%,"$42,514"
SVM,+51.25%,-11.88%,0.990,1.083,1.237,116,63.8%,"$44,982"
PPO (RL),-3.07%,-16.50%,-0.007,-0.005,-0.006,76,N/A,"$3,071"
BM: Buy & Hold,+125.39%,-17.73%,1.445,1.714,1.619,1,N/A,$300
BM: SMA Crossover,+81.66%,-17.29%,1.223,1.228,1.313,8,62.5%,"$2,697"
BM: Random,+89.80%,-17.73%,1.273,1.328,1.278,20,75.0%,"$6,844"
